taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28 sp003477885	AF33-28 sp003477885	species	0.0026	abund	0.0026	0.0832	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Alistipes sp902363575	Alistipes sp902363575	species	0.0012	abund	0.0012	0.0222	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Bacteroides sp900556625	Bacteroides sp900556625	species	0.0327	abund	0.0327	0.6158	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	CAG-313 sp000433035	CAG-313 sp000433035	species	0.0004	abund	0.0004	0.0038	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Clostridium sp900540255	Clostridium sp900540255	species	0.0002	abund	0.0002	0.0031	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Coproplasma stercorigallinarum	Coproplasma stercorigallinarum	species	0.0032	abund	0.0032	0.0327	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Emergencia sp904420065	Emergencia sp904420065	species	0.0026	abund	0.0026	0.0386	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Flavonifractor avistercoris	Flavonifractor avistercoris	species	0.0002	abund	0.0002	0.0031	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Muricomes sp000509105	Muricomes sp000509105	species	0.0002	abund	0.0002	0.005	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Parasutterella sp900552195	Parasutterella sp900552195	species	0.0	abund	0.0	0.0004	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Scatavimonas sp900540275	Scatavimonas sp900540275	species	0.0001	abund	0.0001	0.0018	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Scatomonas hejianensis	Scatomonas hejianensis	species	0.0001	abund	0.0001	0.0018	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Scatomorpha merdavium	Scatomorpha merdavium	species	0.0	abund	0.0	0.0006	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	Veillonella sp902466275	Veillonella sp902466275	species	0.0001	abund	0.0001	0.0005	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0	abund	0.0	0.0016	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
546	546	Citrobacter freundii	Citrobacter freundii	species	0.0099	abund	0.0099	0.3013	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
562	562	Escherichia coli	Escherichia coli	species	0.0244	abund	0.0244	0.756	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.0003	abund	0.0003	0.0107	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
820	820	Bacteroides uniformis	Bacteroides uniformis	species	0.2824	abund	0.2824	8.0595	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.0266	abund	0.0266	0.848	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	0.1515	abund	0.1515	4.4929	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
853	853	Faecalibacterium prausnitzii_E	Faecalibacterium prausnitzii	species	0.0	abund	0.0	0.0007	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1282	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	species	0.0206	abund	0.0206	0.3075	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.0065	abund	0.0065	0.0841	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1351	1351	Enterococcus faecalis	Enterococcus faecalis	species	0.0001	abund	0.0001	0.0016	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1353	1353	Enterococcus_D gallinarum	Enterococcus gallinarum	species	0.1538	abund	0.1538	3.5782	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1358	1358	Lactococcus lactis	Lactococcus lactis	species	0.0003	abund	0.0003	0.004	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1382	1382	Lancefieldella parvula	Lancefieldella parvula	species	0.0	abund	0.0	0.0004	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1491	1491	Clostridium_F botulinum_A	Clostridium botulinum	species	0.0001	abund	0.0001	0.0035	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1522	1522	Clostridium_AQ innocuum	Clostridium innocuum	species	0.0282	abund	0.0282	0.8193	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1547	1547	Thomasclavelia ramosa	Thomasclavelia ramosa	species	0.0137	abund	0.0137	0.2743	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1584	1584	Lactobacillus delbrueckii	Lactobacillus delbrueckii	species	0.0001	abund	0.0001	0.0008	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1613	1613	Limosilactobacillus fermentum	Limosilactobacillus fermentum	species	0.0001	abund	0.0001	0.0011	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1639	1639	Listeria monocytogenes_B	Listeria monocytogenes	species	0.0	abund	0.0	0.0008	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1680	1680	Bifidobacterium adolescentis	Bifidobacterium adolescentis	species	0.0001	abund	0.0001	0.0009	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
2748	2748	Carnobacterium divergens	Carnobacterium divergens	species	0.0001	abund	0.0001	0.001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
28038	28038	Latilactobacillus curvatus	Latilactobacillus curvatus	species	0.0	abund	0.0	0.0003	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
28116	28116	Bacteroides ovatus	Bacteroides ovatus	species	0.5503	abund	0.5503	21.9591	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
28126	28126	Prevotella buccae	Prevotella buccae	species	0.0	abund	0.0	0.0006	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
28901	28901	Salmonella enterica	Salmonella enterica	species	0.0001	abund	0.0001	0.0026	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
33038	33038	Ruminococcus_B gnavus	Ruminococcus gnavus	species	0.0001	abund	0.0001	0.0018	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
35833	35833	Bilophila wadsworthia	Bilophila wadsworthia	species	0.0045	abund	0.0045	0.1272	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
40545	40545	Sutterella wadsworthensis	Sutterella wadsworthensis	species	0.0094	abund	0.0094	0.1704	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
