tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,5369772,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,602805,16,3
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,14,14,Dictyoglomus thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1959987,4,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,19,19,Pelobacter carbinolicus,Pelobacter carbinolicus,species,0.0,abund,0.0,3665893,3,3
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,4749735,59,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,43,43,Cystobacter fuscus,Cystobacter fuscus,species,0.0,abund,0.0,12349744,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,48,48,Archangium gephyra,Archangium gephyra,species,0.0,abund,0.0,12489432,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,52,52,Chondromyces crocatus,Chondromyces crocatus,species,0.0,abund,0.0,11388132,7,3
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,56,56,Sorangium cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,13907952,4,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,2469862,1,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,94,94,Stella humosa,Stella humosa,species,0.0,abund,0.0,5832650,3,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,104,104,Cyclobacterium marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6221273,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,114,114,Gemmata obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,17998094,700,13
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,120,120,Planctopirus limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5460085,7,6
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,122,122,Gimesia maris,Gimesia maris,species,0.0,abund,0.0,15634937,3,3
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,140,140,Borrelia hermsii,Borrelia hermsii,species,0.0,abund,0.0,922280,5,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,141,141,Borrelia parkeri,Borrelia parkeri,species,0.0,abund,0.0,1030684,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,142,142,Borrelia turicatae,Borrelia turicatae,species,0.0,abund,0.0,1165365,5,2
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,143,143,Borrelia anserina,Borrelia anserina,species,0.0,abund,0.0,1042690,2,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,154,154,Spirochaeta thermophila,Spirochaeta thermophila,species,0.0,abund,0.0,2472645,31,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,162,162,Treponema phagedenis,Treponema phagedenis,species,0.0,abund,0.0,17151030,4,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,172,172,Leptospira biflexa,Leptospira biflexa,species,0.0,abund,0.0,3956089,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,173,173,Leptospira interrogans,Leptospira interrogans,species,0.0,abund,0.0,6128534,4,2
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,174,174,Leptospira borgpetersenii,Leptospira borgpetersenii,species,0.0,abund,0.0,4037579,5,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,192,192,Azospirillum brasilense,Azospirillum brasilense,species,0.0,abund,0.0,50779208,8,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,193,193,Azospirillum lipoferum,Azospirillum lipoferum,species,0.0,abund,0.0,7223069,10,2
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,195,195,Campylobacter coli,Campylobacter coli,species,0.0,abund,0.0,1776238,56,44
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,196,196,Campylobacter fetus,Campylobacter fetus,species,0.0,abund,0.0,2065164,44,7
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,197,197,Campylobacter jejuni,Campylobacter jejuni,species,0.0,abund,0.0,3124996,28,6
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,198,198,Campylobacter hyointestinalis,Campylobacter hyointestinalis,species,0.0,abund,0.0,1755214,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,199,199,Campylobacter concisus,Campylobacter concisus,species,0.0,abund,0.0,2099413,3,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,201,201,Campylobacter lari,Campylobacter lari,species,0.0,abund,0.0,1565468,21,3
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,206,206,Campylobacter sputorum,Campylobacter sputorum,species,0.0,abund,0.0,1746988,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,210,210,Helicobacter pylori,Helicobacter pylori,species,0.0,abund,0.0,1700965,40,4
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,217,217,Helicobacter mustelae,Helicobacter mustelae,species,0.0,abund,0.0,1578097,102,0
