taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	norm_abund	classified_fraction	sample_id	sample_id_core	assay	tool	db_mode	tool_db
194	194	Campylobacter	Campylobacter	genus	0.0109	abund	0.0109	0.0059	0.010900076300534104	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
286	286	Pseudomonas	Pseudomonas	genus	0.0004	abund	0.0004	0.001	0.00040000280001960015	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.0142	abund	0.0142	0.0226	0.014200099400695805	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.0167	abund	0.0167	0.0252	0.016700116900818303	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	0.2475	abund	0.2475	0.4082	0.24750173251212756	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0058	abund	0.0058	0.0096	0.005800040600284201	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	13.136799999999996	abund	13.136799999999996	21.0861	13.136891958243703	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
838	838	Prevotella	Prevotella	genus	0.0122	abund	0.0122	0.0113	0.012200085400597803	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
841	841	Roseburia	Roseburia	genus	0.1808	abund	0.1808	0.2212999999999999	0.18080126560885923	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
846	846	Oxalobacter	Oxalobacter	genus	0.1074	abund	0.1074	0.0832	0.10740075180526264	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
872	872	Desulfovibrio	Desulfovibrio	genus	6.8275	abund	6.8275	7.96	6.827547792834549	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1263	1263	Ruminococcus	Ruminococcus	genus	0.022	abund	0.022	0.0219	0.022000154001078003	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1301	1301	Streptococcus	Streptococcus	genus	0.1118	abund	0.1118	0.0727	0.11180078260547822	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1485	1485	Clostridium	Clostridium	genus	0.0139999999999999	abund	0.0139999999999999	0.0214	0.014000098000685903	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1654	1654	Actinomyces	Actinomyces	genus	0.004	abund	0.004	0.004	0.004000028000196001	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1730	1730	Eubacterium	Eubacterium	genus	0.0588	abund	0.0588	0.077	0.058800411602881214	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1743	1743	Propionibacterium	Propionibacterium	genus	0.0081	abund	0.0081	0.0067	0.008100056700396902	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
2172	2172	Methanobrevibacter	Methanobrevibacter	genus	3.1848	abund	3.1848	1.7979	3.1848222937560564	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
28050	28050	Lachnospira	Lachnospira	genus	0.2953	abund	0.2953	0.2581	0.2953020671144698	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
29465	29465	Veillonella	Veillonella	genus	0.0079	abund	0.0079	0.0054	0.007900055300387102	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
32207	32207	Rothia	Rothia	genus	0.0162	abund	0.0162	0.0117	0.016200113400793803	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
47670	47670	Lautropia	Lautropia	genus	0.0009	abund	0.0009	0.0009	0.0009000063000441002	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
61170	61170	Holdemania	Holdemania	genus	0.0075	abund	0.0075	0.0095	0.007500052500367502	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
84111	84111	Eggerthella	Eggerthella	genus	0.0105	abund	0.0105	0.0108	0.010500073500514503	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
86331	86331	Mogibacterium	Mogibacterium	genus	0.0235	abund	0.0235	0.0131	0.023500164501151506	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
102106	102106	Collinsella	Collinsella	genus	0.3547	abund	0.3547	0.2532	0.3547024829173804	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
165779	165779	Anaerococcus	Anaerococcus	genus	0.0078	abund	0.0078	0.0046	0.007800054600382201	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
191303	191303	Turicibacter	Turicibacter	genus	0.0046	abund	0.0046	0.004	0.004600032200225401	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
207244	207244	Anaerostipes	Anaerostipes	genus	0.0083	abund	0.0083	0.0081	0.008300058100406703	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
216851	216851	Faecalibacterium	Faecalibacterium	genus	0.033	abund	0.033	0.0316	0.03300023100161701	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
239759	239759	Alistipes	Alistipes	genus	5.1847	abund	5.1847	5.2989	5.184736293154052	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
239934	239934	Akkermansia	Akkermansia	genus	47.4141	abund	47.4141	41.1701	47.414431901023306	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
244127	244127	Anaerotruncus	Anaerotruncus	genus	0.0136	abund	0.0136	0.0151	0.013600095200666403	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
264995	264995	Anaerofustis	Anaerofustis	genus	0.0321	abund	0.0321	0.0232	0.03210022470157291	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
283168	283168	Odoribacter	Odoribacter	genus	0.1876	abund	0.1876	0.2598	0.18760131320919243	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
375288	375288	Parabacteroides	Parabacteroides	genus	2.9248000000000003	abund	2.9248000000000003	4.2561	2.924820473743316	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
397864	397864	Barnesiella	Barnesiella	genus	0.1445	abund	0.1445	0.1484	0.14450101150708053	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
420345	420345	Lactonifactor	Lactonifactor	genus	0.0055	abund	0.0055	0.0084	0.005500038500269501	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
447020	447020	Adlercreutzia	Adlercreutzia	genus	0.0554	abund	0.0554	0.0509	0.05540038780271462	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
459786	459786	Oscillibacter	Oscillibacter	genus	0.1671	abund	0.1671	0.1749	0.16710116970818795	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
508459	508459	Cloacibacillus	Cloacibacillus	genus	0.0238	abund	0.0238	0.0259	0.02380016660116621	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
572511	572511	Blautia	Blautia	genus	0.2569	abund	0.2569	0.4391	0.2569017983125882	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
574697	574697	Butyricimonas	Butyricimonas	genus	0.0507	abund	0.0507	0.0798	0.05070035490248432	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
644652	644652	Gordonibacter	Gordonibacter	genus	0.0642	abund	0.0642	0.073	0.06420044940314582	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
909656	909656	Phocaeicola	Phocaeicola	genus	4.8746	abund	4.8746	8.4237	4.874634122438857	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
946234	946234	Flavonifractor	Flavonifractor	genus	0.2113	abund	0.2113	0.2848	0.21130147911035374	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
990721	990721	Christensenella	Christensenella	genus	0.0354	abund	0.0354	0.0209	0.03540024780173461	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1392389	1392389	Intestinimonas	Intestinimonas	genus	0.1489	abund	0.1489	0.1492	0.14890104230729614	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1505657	1505657	Intestinibacter	Intestinibacter	genus	0.0038	abund	0.0038	0.0036	0.0038000266001862013	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1506553	1506553	Lachnoclostridium	Lachnoclostridium	genus	0.3148999999999999	abund	0.3148999999999999	0.3917	0.3149022043154301	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1766253	1766253	Agathobacter	Agathobacter	genus	0.0608	abund	0.0608	0.0641	0.06080042560297922	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1769710	1769710	Sellimonas	Sellimonas	genus	0.0564	abund	0.0564	0.0574	0.05640039480276361	0.999993	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
